variant,target,expert,tier,family,tau_gain,tau_harm,lambda,allowed_slices,blocked_configs,allow_aggressive
SafeTAE-config-veto,safe,sra_basic_ablation,balanced,boundary,0.35,0.04,0.25,"high_gap_low_repair,q4_boundary","ETTh1/DLinear/96,ETTh1/PatchTST/192,ETTh1/PatchTST/96,ETTm1/PatchTST/192,ETTm1/PatchTST/96",False
SafeTAE-config-veto,safe,stage3_gated_bp,safe,boundary,0.45,0.2,0.5,"high_gap_low_repair,q4_boundary",ETTh1/PatchTST/192,False
SafeTAE-config-veto,safe,mrc_ridge_abstain,safe,residual,0.45,0.2,0.5,"non_boundary,high_volatility,amplitude_mismatch,default",,False
SafeTAE-config-veto,safe,mrc_ridge_residual_blend,balanced,residual,0.35,0.25,0.25,"non_boundary,high_volatility,amplitude_mismatch,default","ETTh1/DLinear/96,ETTh1/PatchTST/192,ETTh1/PatchTST/96,ETTm1/DLinear/192,ETTm1/DLinear/96,ETTm1/PatchTST/192,ETTm1/PatchTST/96",False
SafeTAE-config-veto,safe,volatility_shrink,safe,volatility,0.35,0.12,0.5,"high_volatility,non_boundary,default","ETTh1/DLinear/192,ETTh1/DLinear/96,ETTm1/DLinear/192,ETTm1/DLinear/96",False
SafeTAE-config-veto,safe,level_bias_bounded,balanced,level,0.35,0.12,0.25,"high_gap_low_repair,q4_boundary,amplitude_mismatch","ETTh1/DLinear/192,ETTh1/DLinear/96,ETTh1/PatchTST/192,ETTh1/PatchTST/96,ETTm1/DLinear/192,ETTm1/DLinear/96,ETTm1/PatchTST/192,ETTm1/PatchTST/96",False
SafeTAE-config-veto,safe,level_bias_light,safe,level,0.35,0.04,0.5,"high_gap_low_repair,q4_boundary,amplitude_mismatch","ETTh1/DLinear/192,ETTh1/DLinear/96,ETTh1/PatchTST/192,ETTh1/PatchTST/96,ETTm1/DLinear/192,ETTm1/DLinear/96,ETTm1/PatchTST/192,ETTm1/PatchTST/96",False
SafeTAE-config-veto,safe,amplitude_scale_bounded,balanced,amplitude,0.35,0.25,0.25,"amplitude_mismatch,non_boundary,default","ETTh1/DLinear/192,ETTh1/DLinear/96,ETTm1/DLinear/192,ETTm1/DLinear/96",False
SafeTAE-config-veto,safe,ensemble_median,safe,ensemble,0.35,0.25,0.5,"high_gap_low_repair,q4_boundary,high_volatility,amplitude_mismatch,non_boundary",,False
SafeTAE-pareto-safe,safe,sra_safe,safe,boundary,0.35,0.25,0.5,"high_gap_low_repair,q4_boundary","ETTh1/PatchTST/192,ETTh1/PatchTST/96,ETTm1/PatchTST/192",False
SafeTAE-pareto-safe,safe,sra_balanced,balanced,boundary,0.35,0.25,0.25,"high_gap_low_repair,q4_boundary","ETTh1/DLinear/96,ETTh1/PatchTST/192,ETTh1/PatchTST/96,ETTm1/DLinear/192,ETTm1/DLinear/96,ETTm1/PatchTST/192,ETTm1/PatchTST/96",False
SafeTAE-pareto-safe,safe,sra_basic_ablation,balanced,boundary,0.35,0.04,0.25,"high_gap_low_repair,q4_boundary","ETTh1/DLinear/96,ETTh1/PatchTST/192,ETTh1/PatchTST/96,ETTm1/PatchTST/192,ETTm1/PatchTST/96",False
SafeTAE-pareto-safe,safe,stage3_gated_bp,safe,boundary,0.45,0.2,0.5,"high_gap_low_repair,q4_boundary",ETTh1/PatchTST/192,False
SafeTAE-pareto-safe,safe,mrc_ridge_abstain,safe,residual,0.45,0.2,0.5,"non_boundary,high_volatility,amplitude_mismatch,default",,False
SafeTAE-pareto-safe,safe,mrc_ridge_residual_blend,balanced,residual,0.35,0.25,0.25,"non_boundary,high_volatility,amplitude_mismatch,default","ETTh1/DLinear/96,ETTh1/PatchTST/192,ETTh1/PatchTST/96,ETTm1/DLinear/192,ETTm1/DLinear/96,ETTm1/PatchTST/192,ETTm1/PatchTST/96",False
SafeTAE-pareto-safe,safe,volatility_shrink,safe,volatility,0.35,0.12,0.5,"high_volatility,non_boundary,default","ETTh1/DLinear/192,ETTh1/DLinear/96,ETTm1/DLinear/192,ETTm1/DLinear/96",False
SafeTAE-pareto-safe,safe,level_bias_bounded,balanced,level,0.35,0.12,0.25,"high_gap_low_repair,q4_boundary,amplitude_mismatch","ETTh1/DLinear/192,ETTh1/DLinear/96,ETTh1/PatchTST/192,ETTh1/PatchTST/96,ETTm1/DLinear/192,ETTm1/DLinear/96,ETTm1/PatchTST/192,ETTm1/PatchTST/96",False
SafeTAE-pareto-safe,safe,level_bias_light,safe,level,0.35,0.04,0.5,"high_gap_low_repair,q4_boundary,amplitude_mismatch","ETTh1/DLinear/192,ETTh1/DLinear/96,ETTh1/PatchTST/192,ETTh1/PatchTST/96,ETTm1/DLinear/192,ETTm1/DLinear/96,ETTm1/PatchTST/192,ETTm1/PatchTST/96",False
SafeTAE-pareto-safe,safe,amplitude_scale_bounded,balanced,amplitude,0.35,0.25,0.25,"amplitude_mismatch,non_boundary,default","ETTh1/DLinear/192,ETTh1/DLinear/96,ETTm1/DLinear/192,ETTm1/DLinear/96",False
SafeTAE-pareto-safe,safe,ensemble_median,safe,ensemble,0.35,0.25,0.5,"high_gap_low_repair,q4_boundary,high_volatility,amplitude_mismatch,non_boundary",,False
SafeTAE-pareto-balanced,balanced,sra_safe,safe,boundary,0.35,0.16,0.75,"high_gap_low_repair,q4_boundary","ETTh1/PatchTST/192,ETTh1/PatchTST/96",False
SafeTAE-pareto-balanced,balanced,sra_balanced,balanced,boundary,0.35,0.25,0.5,"high_gap_low_repair,q4_boundary","ETTh1/PatchTST/192,ETTh1/PatchTST/96,ETTm1/PatchTST/192",False
SafeTAE-pareto-balanced,balanced,sra_basic_ablation,balanced,boundary,0.35,0.25,0.5,"high_gap_low_repair,q4_boundary","ETTh1/PatchTST/192,ETTh1/PatchTST/96,ETTm1/PatchTST/192",False
SafeTAE-pareto-balanced,balanced,stage3_gated_bp,safe,boundary,0.35,0.04,0.75,"high_gap_low_repair,q4_boundary",ETTh1/PatchTST/192,False
SafeTAE-pareto-balanced,balanced,mrc_ridge_abstain,safe,residual,0.4,0.25,0.75,"non_boundary,high_volatility,amplitude_mismatch,default",,False
SafeTAE-pareto-balanced,balanced,mrc_ridge_residual_blend,balanced,residual,0.4,0.25,0.5,"non_boundary,high_volatility,amplitude_mismatch,default","ETTh1/DLinear/96,ETTh1/PatchTST/192,ETTh1/PatchTST/96,ETTm1/DLinear/192,ETTm1/DLinear/96,ETTm1/PatchTST/192,ETTm1/PatchTST/96",False
SafeTAE-pareto-balanced,balanced,volatility_shrink,safe,volatility,0.35,0.12,0.75,"high_volatility,non_boundary,default","ETTh1/DLinear/192,ETTh1/DLinear/96,ETTm1/DLinear/192,ETTm1/DLinear/96",False
SafeTAE-pareto-balanced,balanced,level_bias_bounded,balanced,level,0.4,0.25,0.5,"high_gap_low_repair,q4_boundary,amplitude_mismatch","ETTh1/DLinear/192,ETTh1/DLinear/96,ETTh1/PatchTST/192,ETTh1/PatchTST/96,ETTm1/DLinear/192,ETTm1/DLinear/96,ETTm1/PatchTST/192,ETTm1/PatchTST/96",False
SafeTAE-pareto-balanced,balanced,level_bias_light,safe,level,0.35,0.25,0.75,"high_gap_low_repair,q4_boundary,amplitude_mismatch","ETTh1/DLinear/192,ETTh1/DLinear/96,ETTh1/PatchTST/192,ETTh1/PatchTST/96,ETTm1/DLinear/192,ETTm1/PatchTST/192,ETTm1/PatchTST/96",False
SafeTAE-pareto-balanced,balanced,amplitude_scale_bounded,balanced,amplitude,0.4,0.25,0.5,"amplitude_mismatch,non_boundary,default","ETTh1/DLinear/192,ETTh1/DLinear/96,ETTm1/DLinear/192,ETTm1/DLinear/96",False
SafeTAE-pareto-balanced,balanced,ensemble_median,safe,ensemble,0.35,0.25,0.75,"high_gap_low_repair,q4_boundary,high_volatility,amplitude_mismatch,non_boundary",,False
SafeTAE-pareto-aggressive-diagnostic,aggressive_diagnostic,sra_safe,safe,boundary,0.35,0.25,0.75,,,True
SafeTAE-pareto-aggressive-diagnostic,aggressive_diagnostic,sra_balanced,balanced,boundary,0.35,0.3,0.5,,,True
SafeTAE-pareto-aggressive-diagnostic,aggressive_diagnostic,sra_basic_ablation,balanced,boundary,0.35,0.04,0.1,,,True
SafeTAE-pareto-aggressive-diagnostic,aggressive_diagnostic,stage3_gated_bp,safe,boundary,0.35,0.04,0.75,,,True
SafeTAE-pareto-aggressive-diagnostic,aggressive_diagnostic,mrc_ridge_abstain,safe,residual,0.35,0.04,0.75,,,True
SafeTAE-pareto-aggressive-diagnostic,aggressive_diagnostic,mrc_ridge_residual_blend,balanced,residual,0.35,0.3,0.5,,,True
SafeTAE-pareto-aggressive-diagnostic,aggressive_diagnostic,volatility_shrink,safe,volatility,0.35,0.08,0.75,,,True
SafeTAE-pareto-aggressive-diagnostic,aggressive_diagnostic,level_bias_bounded,balanced,level,0.35,0.25,0.75,,,True
SafeTAE-pareto-aggressive-diagnostic,aggressive_diagnostic,level_bias_light,safe,level,0.35,0.04,0.75,,,True
SafeTAE-pareto-aggressive-diagnostic,aggressive_diagnostic,amplitude_scale_bounded,balanced,amplitude,0.35,0.04,0.75,,,True
SafeTAE-pareto-aggressive-diagnostic,aggressive_diagnostic,amplitude_expand,aggressive,amplitude,0.35,0.3,0.1,,,True
SafeTAE-pareto-aggressive-diagnostic,aggressive_diagnostic,phase_shift_short,aggressive,phase,0.35,0.3,0.1,,,True
SafeTAE-pareto-aggressive-diagnostic,aggressive_diagnostic,ensemble_median,safe,ensemble,0.35,0.16,0.75,,,True
SafeTAE-pareto-aggressive-diagnostic,aggressive_diagnostic,bp_always,aggressive,boundary,0.35,0.3,0.1,,,True
SafeTAE-pareto-aggressive-diagnostic,aggressive_diagnostic,raw,aggressive,raw,0.35,0.3,0.1,,,True
